epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,147.255,2.34491,3.10857,1.43928,1.05895,0,0.41758,0.38417,0.32632,0.11162,0.36303,0.36845,0.27259,0.07717,2.40615,3.24897,1.53792,1.1264,0,0.0011684,0.0011684,0.0011684
44,150.709,2.39367,3.06972,1.44193,1.05779,0,0.39366,0.34168,0.27764,0.09357,0.34559,0.32072,0.24587,0.06923,2.4776,3.27897,1.59387,1.14367,0,0.0011486,0.0011486,0.0011486
45,154.141,2.34272,3.11996,1.43921,1.05317,0,0.40368,0.3638,0.30263,0.10222,0.35136,0.33062,0.24385,0.06669,2.42088,3.29897,1.64029,1.1261,0,0.0011288,0.0011288,0.0011288
46,157.554,2.33892,3.09418,1.45874,1.06177,0,0.40958,0.38417,0.32182,0.10871,0.3427,0.34459,0.25046,0.071,2.40291,3.27377,1.54479,1.11839,0,0.001109,0.001109,0.001109
47,161.003,2.37727,3.05742,1.45829,1.04733,0,0.39482,0.36903,0.31047,0.10215,0.32053,0.3475,0.23342,0.0648,2.40648,3.29844,1.59018,1.10824,0,0.0010892,0.0010892,0.0010892
48,164.367,2.35257,3.04578,1.44714,1.05901,0,0.3788,0.35914,0.2862,0.09174,0.28857,0.3248,0.20416,0.05347,2.47102,3.23656,1.64458,1.10734,0,0.0010694,0.0010694,0.0010694
49,167.713,2.35053,3.05451,1.43838,1.04811,0,0.39795,0.37194,0.30598,0.10378,0.36308,0.33935,0.26677,0.07804,2.38791,3.19576,1.5405,1.14039,0,0.0010496,0.0010496,0.0010496
50,171.136,2.31813,3.05005,1.42777,1.05805,0,0.40781,0.38068,0.31812,0.11262,0.36957,0.3213,0.25741,0.07316,2.35773,3.23138,1.58183,1.11569,0,0.0010298,0.0010298,0.0010298
51,174.611,2.30779,3.06032,1.41525,1.04674,0,0.39042,0.37078,0.31368,0.10856,0.35542,0.36496,0.27223,0.08009,2.38867,3.39163,1.54904,1.10428,0,0.00101,0.00101,0.00101
52,178.185,2.33671,3.07034,1.43334,1.04627,0,0.42454,0.37136,0.32424,0.11269,0.35028,0.3312,0.25336,0.07216,2.36849,3.16736,1.53731,1.10404,0,0.0009902,0.0009902,0.0009902
53,181.592,2.31118,3.0035,1.40627,1.04094,0,0.42037,0.3865,0.33644,0.11517,0.34614,0.32014,0.2496,0.07169,2.40005,3.20884,1.56413,1.11644,0,0.0009704,0.0009704,0.0009704
54,185.005,2.28821,3.01852,1.42373,1.03966,0,0.44507,0.38126,0.34632,0.12335,0.38784,0.35157,0.28556,0.08387,2.35941,3.16822,1.47953,1.08528,0,0.0009506,0.0009506,0.0009506
55,188.382,2.29885,3.00285,1.40321,1.04451,0,0.39887,0.37136,0.30555,0.10232,0.31203,0.31141,0.21839,0.06246,2.38678,3.36375,1.55265,1.09656,0,0.0009308,0.0009308,0.0009308
56,191.746,2.31445,3.01639,1.44495,1.04686,0,0.40687,0.38009,0.31874,0.10706,0.31305,0.30792,0.21697,0.05911,2.36641,3.37682,1.51634,1.08643,0,0.000911,0.000911,0.000911
57,195.289,2.28825,2.95828,1.41074,1.03382,0,0.43215,0.38126,0.3295,0.1192,0.37051,0.33295,0.25689,0.07492,2.2906,3.16788,1.51887,1.09344,0,0.0008912,0.0008912,0.0008912
58,198.779,2.30173,3.0148,1.41732,1.05233,0,0.4167,0.35099,0.31274,0.10877,0.35757,0.33003,0.25762,0.06975,2.41271,3.15606,1.50989,1.10669,0,0.0008714,0.0008714,0.0008714
59,202.191,2.29847,3.00993,1.41046,1.03505,0,0.44409,0.36671,0.3305,0.11681,0.36109,0.3376,0.26258,0.0733,2.36582,3.17083,1.52622,1.08615,0,0.0008516,0.0008516,0.0008516
60,205.69,2.27642,3.0348,1.39584,1.04034,0,0.45297,0.38318,0.34228,0.12161,0.39363,0.3475,0.27904,0.08174,2.33937,3.19905,1.46062,1.09951,0,0.0008318,0.0008318,0.0008318
61,209.123,2.23943,2.98271,1.37832,1.03688,0,0.42295,0.38475,0.3374,0.1133,0.32995,0.33644,0.2348,0.06301,2.36562,3.21683,1.47695,1.10238,0,0.000812,0.000812,0.000812
62,212.522,2.29113,3.00129,1.40149,1.04289,0,0.44401,0.36787,0.32565,0.11715,0.38206,0.33702,0.26259,0.07476,2.36103,3.24858,1.52737,1.09155,0,0.0007922,0.0007922,0.0007922
63,216.054,2.27076,2.98165,1.38957,1.04001,0,0.47453,0.37253,0.3565,0.12762,0.38475,0.31996,0.26416,0.07545,2.32297,3.17873,1.49361,1.09574,0,0.0007724,0.0007724,0.0007724
64,219.495,2.2379,2.95693,1.38679,1.04142,0,0.42426,0.39872,0.3453,0.12206,0.37403,0.34633,0.27635,0.07837,2.32269,3.16441,1.4887,1.09681,0,0.0007526,0.0007526,0.0007526
65,222.948,2.26904,3.01445,1.39837,1.03227,0,0.44401,0.36769,0.3263,0.11372,0.37705,0.34109,0.26841,0.0796,2.3632,3.17277,1.52027,1.08509,0,0.0007328,0.0007328,0.0007328
66,226.403,2.30662,3.01386,1.41083,1.03426,0,0.42727,0.3638,0.33156,0.11473,0.34391,0.32247,0.23261,0.06555,2.38183,3.20237,1.52309,1.08281,0,0.000713,0.000713,0.000713
67,229.878,2.24908,2.96889,1.38716,1.03522,0,0.4134,0.38126,0.33244,0.11379,0.34004,0.32189,0.24063,0.0671,2.37157,3.26569,1.51901,1.09713,0,0.0006932,0.0006932,0.0006932
68,233.33,2.24023,2.96107,1.37959,1.05272,0,0.44374,0.37951,0.34234,0.11989,0.38249,0.32712,0.26459,0.07483,2.3412,3.14209,1.52354,1.09206,0,0.0006734,0.0006734,0.0006734
69,236.798,2.22543,2.96204,1.36971,1.03722,0,0.42439,0.37311,0.3271,0.10998,0.34841,0.34284,0.24662,0.07188,2.31927,3.16102,1.52538,1.07789,0,0.0006536,0.0006536,0.0006536
70,240.224,2.24908,2.96532,1.38381,1.03152,0,0.43936,0.3777,0.3439,0.12338,0.36261,0.33935,0.2637,0.07591,2.33091,3.14343,1.48764,1.0835,0,0.0006338,0.0006338,0.0006338
71,243.666,2.22911,2.92756,1.3616,1.03243,0,0.43327,0.40687,0.34694,0.12596,0.38042,0.35131,0.27975,0.08032,2.25915,3.1534,1.50576,1.09328,0,0.000614,0.000614,0.000614
72,247.132,2.22322,2.94098,1.36189,1.03225,0,0.42888,0.39872,0.3498,0.1232,0.35062,0.32596,0.25243,0.07276,2.33611,3.14006,1.49756,1.08354,0,0.0005942,0.0005942,0.0005942
73,250.612,2.22642,2.95775,1.37514,1.04354,0,0.42067,0.37776,0.32621,0.10924,0.34263,0.32421,0.24039,0.06984,2.34758,3.16861,1.53306,1.0871,0,0.0005744,0.0005744,0.0005744
74,254.023,2.23271,2.96626,1.37975,1.03435,0,0.45145,0.39569,0.34749,0.12252,0.37176,0.32584,0.26542,0.07675,2.32091,3.14404,1.5215,1.0876,0,0.0005546,0.0005546,0.0005546
