epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,163.285,2.27561,2.98926,1.38022,1.05,0,0.42928,0.37226,0.32895,0.11635,0.34047,0.33065,0.25638,0.06995,2.32204,3.27478,1.4938,1.13744,0,0.0009506,0.0009506,0.0009506
55,166.336,2.22407,3.01694,1.36287,1.05252,0,0.41519,0.35949,0.31061,0.10702,0.33208,0.30353,0.22779,0.06198,2.36646,3.20152,1.56304,1.11967,0,0.0009308,0.0009308,0.0009308
56,169.492,2.24093,3.02579,1.37193,1.049,0,0.43691,0.382,0.34389,0.12543,0.36787,0.33151,0.26907,0.07392,2.24736,3.28048,1.48855,1.11522,0,0.000911,0.000911,0.000911
57,172.464,2.24919,2.96057,1.38591,1.04639,0,0.42282,0.38139,0.34096,0.12275,0.33824,0.32603,0.24968,0.07172,2.28729,3.2224,1.47908,1.11613,0,0.0008912,0.0008912,0.0008912
58,175.399,2.25465,2.99266,1.38353,1.04628,0,0.41857,0.37165,0.32483,0.11766,0.31985,0.30414,0.23889,0.06701,2.28851,3.34438,1.4935,1.13568,0,0.0008714,0.0008714,0.0008714
59,178.4,2.2262,2.9836,1.36775,1.05876,0,0.42182,0.39599,0.34445,0.12295,0.37288,0.35877,0.28031,0.08251,2.2211,3.26387,1.51191,1.13167,0,0.0008516,0.0008516,0.0008516
60,181.36,2.28139,3.00582,1.41035,1.06629,0,0.41902,0.37956,0.32397,0.11923,0.34719,0.3382,0.26442,0.07879,2.2503,3.33143,1.49502,1.1234,0,0.0008318,0.0008318,0.0008318
61,184.377,2.23697,2.9884,1.38151,1.04089,0,0.43664,0.38625,0.34184,0.12808,0.398,0.31813,0.2691,0.07646,2.20954,3.24501,1.47721,1.11186,0,0.000812,0.000812,0.000812
62,187.39,2.25461,2.99434,1.37767,1.05356,0,0.44901,0.37774,0.34418,0.12112,0.37551,0.33211,0.27012,0.07837,2.24641,3.17085,1.46544,1.121,0,0.0007922,0.0007922,0.0007922
63,190.394,2.22207,2.96622,1.3744,1.03955,0,0.4517,0.36679,0.33895,0.12318,0.37008,0.31083,0.25538,0.0723,2.29476,3.23284,1.48738,1.12481,0,0.0007724,0.0007724,0.0007724
