epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,152.936,2.323,3.10612,1.44958,1.06383,0,0.39765,0.36672,0.30616,0.1032,0.33783,0.31721,0.2379,0.06821,2.37416,3.33398,1.53879,1.10395,0,0.001109,0.001109,0.001109
47,156.301,2.36777,3.05194,1.45392,1.05116,0,0.43155,0.35982,0.32282,0.11168,0.34767,0.3293,0.24362,0.06803,2.38706,3.27768,1.48579,1.10826,0,0.0010892,0.0010892,0.0010892
48,159.647,2.33286,3.04272,1.44355,1.05771,0,0.40954,0.37824,0.31473,0.10646,0.34006,0.33045,0.24359,0.06593,2.40474,3.22411,1.55169,1.11015,0,0.0010694,0.0010694,0.0010694
49,162.979,2.3569,3.05821,1.43885,1.05752,0,0.42758,0.37824,0.31811,0.10844,0.35041,0.36154,0.2542,0.07372,2.36602,3.1816,1.497,1.11127,0,0.0010496,0.0010496,0.0010496
50,166.322,2.33672,3.05234,1.43815,1.05354,0,0.4077,0.38457,0.31982,0.10912,0.32678,0.32642,0.22866,0.06279,2.34742,3.26196,1.54561,1.09848,0,0.0010298,0.0010298,0.0010298
51,169.692,2.31104,3.06394,1.40912,1.04261,0,0.42396,0.38054,0.32523,0.11496,0.38823,0.36788,0.28639,0.0803,2.35769,3.40095,1.52493,1.10686,0,0.00101,0.00101,0.00101
52,173.074,2.34137,3.06951,1.44103,1.05307,0,0.39721,0.36385,0.30263,0.1051,0.35028,0.34197,0.25207,0.07325,2.37684,3.20801,1.61271,1.12026,0,0.0009902,0.0009902,0.0009902
53,176.41,2.33185,2.99905,1.41489,1.04706,0,0.42782,0.37709,0.32301,0.11337,0.37059,0.33103,0.26252,0.07236,2.38063,3.27553,1.57597,1.10306,0,0.0009704,0.0009704,0.0009704
54,179.862,2.30236,3.02245,1.43131,1.04204,0,0.42114,0.38227,0.32269,0.11033,0.36536,0.33967,0.26158,0.07593,2.37504,3.22449,1.52847,1.10347,0,0.0009506,0.0009506,0.0009506
55,183.237,2.31199,3.02169,1.42184,1.04897,0,0.39513,0.3863,0.31426,0.10686,0.32842,0.33391,0.2393,0.06449,2.31385,3.31371,1.5433,1.11475,0,0.0009308,0.0009308,0.0009308
56,186.592,2.31333,3.00739,1.44314,1.0465,0,0.42441,0.38112,0.33222,0.1179,0.33734,0.33791,0.26351,0.07776,2.32309,3.26751,1.46266,1.11489,0,0.000911,0.000911,0.000911
57,189.985,2.29024,2.97247,1.40915,1.02854,0,0.4156,0.3863,0.32177,0.1126,0.33926,0.35003,0.25515,0.07287,2.34627,3.12414,1.51151,1.10324,0,0.0008912,0.0008912,0.0008912
58,193.389,2.3125,3.00051,1.43205,1.05735,0,0.43125,0.38745,0.32481,0.10761,0.35865,0.33417,0.24976,0.06952,2.34362,3.14978,1.54411,1.09584,0,0.0008714,0.0008714,0.0008714
59,196.768,2.30197,3.0275,1.4147,1.03878,0,0.41611,0.3886,0.33511,0.11732,0.34673,0.33218,0.25529,0.07306,2.348,3.18579,1.50231,1.10203,0,0.0008516,0.0008516,0.0008516
60,200.173,2.28931,3.03758,1.40614,1.04353,0,0.43453,0.3863,0.33467,0.11748,0.3756,0.33488,0.26103,0.07769,2.35439,3.23221,1.4909,1.10774,0,0.0008318,0.0008318,0.0008318
61,203.55,2.23675,3.00667,1.39,1.0354,0,0.41044,0.40601,0.32959,0.11147,0.32972,0.33218,0.24274,0.06532,2.34844,3.28432,1.45797,1.10214,0,0.000812,0.000812,0.000812
62,206.972,2.30019,3.01249,1.41203,1.04414,0,0.41292,0.38687,0.31152,0.10846,0.36655,0.35845,0.25867,0.07431,2.40174,3.22746,1.53377,1.0933,0,0.0007922,0.0007922,0.0007922
63,210.347,2.28409,2.9846,1.39141,1.04438,0,0.44382,0.39436,0.35054,0.12607,0.37763,0.33394,0.26871,0.0749,2.30743,3.21122,1.45499,1.09272,0,0.0007724,0.0007724,0.0007724
64,213.729,2.23943,2.96487,1.38666,1.04493,0,0.42557,0.42084,0.34399,0.11877,0.35717,0.34082,0.26146,0.07307,2.31117,3.18363,1.4952,1.10099,0,0.0007526,0.0007526,0.0007526
65,217.105,2.2888,3.0264,1.40258,1.03501,0,0.42589,0.39896,0.33572,0.1147,0.36004,0.34542,0.25322,0.07208,2.341,3.15517,1.49707,1.08704,0,0.0007328,0.0007328,0.0007328
66,220.491,2.30808,3.03495,1.41648,1.03577,0,0.44251,0.41393,0.3509,0.1202,0.36487,0.35982,0.26419,0.07287,2.33383,3.21723,1.47898,1.10504,0,0.000713,0.000713,0.000713
67,223.888,2.26091,2.97233,1.38343,1.03792,0,0.43838,0.4053,0.35101,0.12085,0.36063,0.34485,0.2654,0.07522,2.33081,3.21982,1.45803,1.09554,0,0.0006932,0.0006932,0.0006932
68,227.282,2.24308,2.9816,1.38462,1.04899,0,0.41536,0.38324,0.32741,0.1127,0.36514,0.3384,0.26811,0.07688,2.33552,3.23539,1.51906,1.10709,0,0.0006734,0.0006734,0.0006734
69,230.714,2.23607,2.97066,1.38387,1.04213,0,0.42428,0.384,0.32377,0.11175,0.37952,0.34122,0.26703,0.07935,2.30919,3.16698,1.51233,1.08358,0,0.0006536,0.0006536,0.0006536
70,234.179,2.25091,2.96188,1.37581,1.03286,0,0.43918,0.39666,0.33874,0.11869,0.39028,0.32009,0.26676,0.07621,2.31884,3.16809,1.51151,1.08715,0,0.0006338,0.0006338,0.0006338
71,237.538,2.24204,2.94209,1.36707,1.03056,0,0.45035,0.40944,0.35679,0.12875,0.37303,0.35176,0.27749,0.08011,2.28322,3.15029,1.42976,1.09115,0,0.000614,0.000614,0.000614
72,240.949,2.22816,2.93971,1.35813,1.03465,0,0.42824,0.39321,0.34939,0.12321,0.37559,0.34254,0.27991,0.08196,2.30439,3.15666,1.48909,1.08912,0,0.0005942,0.0005942,0.0005942
73,244.363,2.23448,2.96683,1.37379,1.04064,0,0.41151,0.38969,0.32815,0.11078,0.34537,0.34427,0.24979,0.07097,2.33453,3.16627,1.52301,1.08598,0,0.0005744,0.0005744,0.0005744
74,247.8,2.24427,2.95496,1.36901,1.03445,0,0.4531,0.39206,0.35582,0.12603,0.37293,0.3293,0.26751,0.07622,2.2652,3.17104,1.47599,1.08486,0,0.0005546,0.0005546,0.0005546
75,251.239,2.21189,2.97371,1.3661,1.02909,0,0.41474,0.41163,0.35033,0.12305,0.35576,0.37075,0.27826,0.08216,2.28527,3.14305,1.50594,1.08363,0,0.0005348,0.0005348,0.0005348
76,254.685,2.24238,2.95901,1.38685,1.03789,0,0.42571,0.40627,0.3512,0.12337,0.35878,0.33308,0.26529,0.07362,2.30313,3.14264,1.47911,1.08178,0,0.000515,0.000515,0.000515
77,258.137,2.18409,2.9361,1.36272,1.03612,0,0.44144,0.4099,0.35867,0.12881,0.37474,0.33564,0.27163,0.08007,2.27154,3.11349,1.41943,1.08782,0,0.0004952,0.0004952,0.0004952
78,261.598,2.24239,2.93926,1.37641,1.03317,0,0.43884,0.42199,0.3668,0.13106,0.36912,0.31952,0.26561,0.07813,2.28132,3.12048,1.43109,1.08866,0,0.0004754,0.0004754,0.0004754
79,264.984,2.23653,2.97079,1.36682,1.01974,0,0.44701,0.40488,0.35751,0.12812,0.39981,0.35579,0.2974,0.08547,2.26804,3.12604,1.43002,1.08329,0,0.0004556,0.0004556,0.0004556
80,268.409,2.19596,2.88753,1.34275,1.02211,0,0.4471,0.3909,0.34663,0.12192,0.38897,0.3293,0.27523,0.08271,2.30195,3.184,1.49173,1.09688,0,0.0004358,0.0004358,0.0004358
81,271.812,2.14802,2.89712,1.33077,1.02797,0,0.46407,0.41048,0.37937,0.13031,0.3884,0.33564,0.2778,0.07994,2.2593,3.17388,1.43253,1.08729,0,0.000416,0.000416,0.000416
82,275.215,2.21554,2.88621,1.35121,1.02459,0,0.47452,0.39436,0.36859,0.13182,0.39935,0.34657,0.28741,0.08664,2.2681,3.17829,1.42551,1.08395,0,0.0003962,0.0003962,0.0003962
83,278.972,2.22151,2.94811,1.37194,1.02908,0,0.45806,0.40127,0.36207,0.12672,0.38628,0.35185,0.28664,0.08315,2.27522,3.15806,1.49523,1.0931,0,0.0003764,0.0003764,0.0003764
84,282.59,2.18458,2.95398,1.3471,1.02863,0,0.45544,0.40734,0.36636,0.13023,0.39158,0.346,0.28912,0.08646,2.27636,3.15244,1.44026,1.0907,0,0.0003566,0.0003566,0.0003566
85,286.026,2.20143,2.88364,1.34045,1.02832,0,0.44413,0.40818,0.35381,0.12667,0.39847,0.3581,0.2894,0.0862,2.28494,3.18923,1.47885,1.09556,0,0.0003368,0.0003368,0.0003368
86,289.516,2.1319,2.90014,1.31858,1.01851,0,0.47925,0.39724,0.37323,0.13389,0.39156,0.33506,0.28003,0.08215,2.26565,3.13047,1.39804,1.08148,0,0.000317,0.000317,0.000317
87,292.976,2.20709,2.93751,1.34674,1.02143,0,0.45016,0.41566,0.36284,0.12939,0.38184,0.3453,0.2796,0.08416,2.29155,3.16237,1.42637,1.09184,0,0.0002972,0.0002972,0.0002972
